,0
rolling_vol_20d,3064
nifty_vs_sma200,3064
nifty_vol_20d,2969
nifty_ret_20d,2382
universe_breadth_50d,2157
universe_breadth_20d,2085
high_52w_proximity,2037
nifty_ret_5d,1856
nifty_vs_ema50,1809
atr_pct,1627
nifty_vs_ema20,1600
bb_bandwidth,1474
macd_signal,1362
atr_pct_rank,1298
macd_line,1148
obv_vs_ma20,1108
macd_histogram_lag5,1040
cmf_20_lag5,911
adx_14_lag5,826
obv_ret_5d,797
macd_histogram_lag3,754
close_vs_sma50,733
macd_histogram,723
macd_histogram_rank,722
di_diff,701
range_pct,681
adx_14,625
cmf_20_lag3,605
adx_14_lag3,589
body_ratio,587
close_vs_supertrend,571
log_ret_1d,570
cmf_20,566
log_ret_20d,564
macd_histogram_lag2,562
stochrsi_d,558
macd_histogram_lag1,550
rsi_14_lag5,549
upper_shadow,539
adx_14_lag1,532
cmf_20_lag1,528
lower_shadow,525
cmf_20_lag2,513
stoch_d,513
stoch_kd_diff,505
cmf_20_rank,505
volume_ratio_20d_lag5,504
log_ret_20d_rank,500
volume_ratio_20d,486
stochrsi_kd_diff,478
adx_14_lag2,471
rsi_14_rank,466
volume_ratio_20d_lag1,463
bb_pct_b,456
volume_ratio_20d_lag3,451
volume_ratio_20d_rank,447
volume_ratio_20d_lag2,442
stochrsi_k,429
rsi_14_lag3,424
log_ret_1d_lag5,412
log_ret_5d_rank,405
stoch_k,391
log_ret_1d_lag1,387
log_ret_10d,365
rsi_14_lag2,358
log_ret_1d_lag3,348
rsi_14,345
log_ret_1d_lag2,326
days_since_bull_xover,313
rsi_14_lag1,305
log_ret_5d,299
close_vs_ema9,287
days_since_bear_xover,271
close_vs_sma20,248
close_vs_ema20,192
nifty_high_vol_flag,190
close_vs_ema21,165
supertrend_dir_enc,10
